CodingHours,CoffeeCupsPerDay,CoffeeTime,CodingWithoutCoffee,CoffeeType,CoffeeSolveBugs,Gender,Country,AgeRange,Type,When
8,2,Before coding,Yes,Caffè latte,Sometimes,Female,Lebanon,18,1,1
2,1,While coding,Sometimes,Caffè latte,No,Female,Lebanon,18,1,2
6,2,Before coding,Yes,Caffè latte,No,Male,Lebanon,18,1,1
7,2,While coding,Sometimes,Caffè latte,No,Male,Lebanon,18,1,2
3,3,While coding,Sometimes,Caffè latte,Sometimes,Male,Lebanon,18,1,2
3,2,Before coding,Yes,Americano,Yes,Female,Lebanon,30,2,1
10,2,While coding,Yes,American Coffee,Sometimes,Male,Lebanon,30,2,2
10,3,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,30,2,2
6,3,While coding,No,Americano,Yes,Female,Lebanon,30,2,2
10,3,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,30,2,2
4,2,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,18,2,2
2,2,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,40,2,2
10,6,All the time,No,American Coffee,Yes,Male,Lebanon,30,2,3
2,2,While coding,Yes,American Coffee,No,Male,Lebanon,30,2,2
3,2,While coding,Sometimes,American Coffee,Sometimes,Female,Lebanon,30,2,2
8,3,While coding,Sometimes,American Coffee,Yes,Male,Lebanon,18,2,2
8,2,Before coding,Sometimes,American Coffee,Yes,Male,Lebanon,18,2,1
7,2,While coding,Sometimes,American Coffee,No,Female,Lebanon,18,2,2
7,4,While coding,No,American Coffee,Sometimes,Male,Lebanon,18,2,2
8,4,While coding,No,American Coffee,Sometimes,Male,Lebanon,18,2,2
8,2,Before coding,Sometimes,American Coffee,Sometimes,Female,Lebanon,18,2,1
10,2,While coding,Sometimes,American Coffee,Yes,Male,Lebanon,18,2,2
10,8,All the time,No,American Coffee,Yes,Male,Lebanon,18,2,3
5,5,While coding,Sometimes,American Coffee,Yes,Male,Lebanon,18,2,2
4,5,While coding,Sometimes,American Coffee,Yes,Male,Lebanon,18,2,2
10,2,While coding,Yes,American Coffee,No,Male,Lebanon,18,2,2
10,3,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,18,2,2
3,3,While coding,Sometimes,American Coffee,Sometimes,Female,Lebanon,18,2,2
10,1,Before coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,18,2,1
7,3,While coding,Sometimes,American Coffee,Sometimes,Female,Lebanon,18,2,2
10,2,While coding,Yes,Nescafe,No,Male,Lebanon,30,3,2
8,2,Before and while coding,No,Nescafe,Yes,Male,Lebanon,30,3,1
9,3,While coding,Sometimes,Nescafe,Yes,Male,Lebanon,30,3,2
6,1,Before coding,Yes,Nescafe,Sometimes,Male,Lebanon,18,3,1
8,3,While coding,No,Nescafe,No,Male,Lebanon,18,3,2
3,1,In the morning,Yes,Nescafe,Sometimes,Female,Lebanon,30,3,4
9,5,While coding,Sometimes,Nescafe,Yes,Male,Lebanon,18,3,2
6,3,While coding,Yes,Nescafe,No,Female,Lebanon,30,3,2
7,1,Before coding,Yes,Nescafe,Yes,Male,Lebanon,30,3,1
2,2,While coding,No,Nescafe,Sometimes,Female,Lebanon,18,3,2
9,2,Before coding,Sometimes,Nescafe,Sometimes,Female,Lebanon,18,3,1
4,1,Before coding,Yes,Nescafe,No,Male,Lebanon,30,3,1
9,1,In the morning,Yes,Nescafe,No,Female,Lebanon,18,3,4
8,2,Before coding,No,Nescafe,No,Female,Lebanon,18,3,1
6,1,Before coding,Yes,Nescafe,No,Male,Lebanon,30,3,1
6,1,Before coding,Yes,Nescafe,No,Male,Lebanon,30,3,1
